,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,ENERGYSTARScore,PropertyGFABuilding(s),PropertyGFAParking,LargestPropertyUseTypeGFA,SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,SiteEnergyUse(kBtu)
906,Warehouse,47.66353,-122.38064,1920_1940,1.0,4,100.0,42500,0,42500.0,0,1,0,1.68,241478.5938
907,Small- and Mid-Sized Office,47.66691,-122.38416,_1920,1.0,4,,23032,0,14448.0,0,1,0,7.82,1121537.75
908,Other,47.66646,-122.38263,_1920,1.0,3,,40836,4914,42850.0,0,1,1,303.81,7240274.0
909,Small- and Mid-Sized Office,47.66497,-122.38047,1960_1980,1.0,2,26.0,23500,0,23500.0,0,1,1,34.52,1686405.0
910,Small- and Mid-Sized Office,47.66431,-122.37988,1960_1980,1.0,1,93.0,22282,0,22282.0,0,1,1,16.67,579888.3125
911,Self-Storage Facility,47.66351,-122.37961,_1920,1.0,2,,24000,0,24000.0,0,1,1,17.39,502898.6875
912,Mixed Use Property,47.66852,-122.38175,_1920,1.0,3,,27085,0,9500.0,0,1,1,60.67,1995131.75
913,Small- and Mid-Sized Office,47.719,-122.29966,1920_1940,1.0,2,58.0,37500,0,37500.0,0,1,1,44.26,2235765.5
914,K-12 School,47.73143,-122.32784,1920_1940,1.0,3,61.0,23983,0,23983.0,0,1,1,33.28,1164364.75
915,Distribution Center,47.55832,-122.35239,1960_1980,1.0,1,22.0,24100,0,20100.0,0,1,1,30.49,809870.8125
916,K-12 School,47.66665,-122.31818,2000_,3.0,2,5.0,31343,0,51515.0,0,1,1,128.66,3846501.25
917,Mixed Use Property,47.68582,-122.33709,1980_2000,1.0,3,,33062,22850,24052.0,0,1,0,17.08,2450442.75
918,Other,47.65843,-122.38435,1940_1960,1.0,2,,20294,0,18000.0,0,1,1,67.45,1735995.75
919,Small- and Mid-Sized Office,47.65708,-122.38383,1980_2000,1.0,4,64.0,29722,10849,24008.0,0,1,0,8.97,1286817.375
920,Small- and Mid-Sized Office,47.65649,-122.38383,1980_2000,1.0,4,78.0,26048,15659,41707.0,0,1,0,12.24,1755788.5
921,Mixed Use Property,47.65118,-122.37875,1940_1960,1.0,2,,57644,0,20176.0,0,1,1,42.87,2189735.0
922,Warehouse,47.64913,-122.37929,1940_1960,1.0,2,9.0,39497,0,25547.0,0,1,1,28.28,1700057.375
923,Small- and Mid-Sized Office,47.70793,-122.33316,1980_2000,1.0,2,73.0,27574,0,27574.0,0,1,0,8.44,1211349.25
924,Senior Care Community,47.71069,-122.32674,1980_2000,1.0,5,4.0,43661,0,43661.0,0,1,1,82.57,3936421.5
925,Small- and Mid-Sized Office,47.70842,-122.3332,1980_2000,1.0,3,91.0,48798,27307,76105.0,0,1,0,17.24,2472350.25
926,Mixed Use Property,47.70983,-122.31865,1940_1960,1.0,2,,32009,0,17500.0,0,1,1,44.28,1998725.25
927,Medical Office,47.70676,-122.32264,1980_2000,1.0,3,55.0,28841,0,28841.0,0,1,1,33.42,1459199.75
928,Self-Storage Facility,47.70782,-122.31873,1960_1980,2.0,2,,33344,0,31360.0,0,1,0,0.86,123767.2031
929,K-12 School,47.51698,-122.35946,1920_1940,1.0,2,92.0,42975,0,21405.0,0,1,1,42.96,959352.0
930,Other,47.53366,-122.33733,1960_1980,1.0,1,,23260,0,13075.0,0,1,1,52.41,1612105.75
931,Small- and Mid-Sized Office,47.53309,-122.33977,1980_2000,1.0,2,88.0,30659,0,27262.0,0,1,1,55.85,2619088.5
932,Other,47.63132,-122.34136,_1920,1.0,2,,27144,0,27144.0,0,1,1,32.58,1012024.313
933,Other,47.70969,-122.34557,1960_1980,5.0,1,,23166,0,23166.0,0,1,1,184.6,3475804.25
934,Medical Office,47.70558,-122.33486,1960_1980,1.0,2,81.0,34759,0,44667.0,0,1,0,11.39,1633105.375
935,Hospital,47.71425,-122.33689,1960_1980,8.0,1,85.0,415632,0,483520.0,0,1,1,3278.11,98960776.0
936,Worship Facility,47.71745,-122.33221,1960_1980,1.0,2,,44719,0,45909.0,0,1,1,53.21,1614026.25
937,Supermarket / Grocery Store,47.57894,-122.31287,1960_1980,1.0,1,16.0,21603,0,21603.0,0,1,1,129.89,5833800.0
938,Medical Office,47.62014,-122.31228,1960_1980,1.0,3,60.0,591981,0,520187.0,0,1,1,3238.24,102673696.0
939,Distribution Center,47.53158,-122.33568,1960_1980,1.0,1,53.0,42900,0,43050.0,0,1,0,3.04,436252.5
940,Other,47.51885,-122.33421,2000_,5.0,1,,57952,0,57952.0,0,1,1,96.15,3091387.5
941,Other,47.52956,-122.33592,1960_1980,1.0,1,,26232,0,18262.0,0,1,1,122.71,3094090.0
942,Warehouse,47.59783,-122.31554,1940_1960,1.0,2,92.0,25840,0,25840.0,0,1,0,2.19,313528.0938
943,Small- and Mid-Sized Office,47.59721,-122.31838,1980_2000,1.0,1,,45145,0,43813.0,0,1,1,43.63,1268459.0
944,Small- and Mid-Sized Office,47.59728,-122.31587,2000_,1.0,5,89.0,48237,22095,44417.0,0,1,1,19.12,1981115.25
945,Supermarket / Grocery Store,47.6899,-122.37619,1980_2000,1.0,1,22.0,45522,0,45522.0,0,1,1,326.74,12250422.0
946,Retail Store,47.72286,-122.34612,1960_1980,1.0,2,,20088,0,16080.0,0,1,0,2.28,326778.6875
947,Other,47.57049,-122.34857,1980_2000,5.0,2,,138907,0,139557.0,0,1,1,179.55,7837692.5
948,Small- and Mid-Sized Office,47.56999,-122.34703,1980_2000,1.0,2,57.0,40657,0,40657.0,0,1,1,23.6,2826828.0
949,Warehouse,47.57279,-122.35066,_1920,1.0,1,,20200,0,18700.0,0,1,1,2.25,269016.6875
951,Small- and Mid-Sized Office,47.60663,-122.32526,1960_1980,1.0,7,94.0,33548,20824,54372.0,0,1,0,9.79,1403820.0
952,Other,47.60709,-122.32416,1940_1960,1.0,1,,47699,0,47000.0,1,1,1,712.39,14524386.0
953,Medical Office,47.60862,-122.32372,1940_1960,1.0,0,52.0,274568,0,228133.0,1,1,0,1110.07,25311526.0
954,Small- and Mid-Sized Office,47.60819,-122.32282,1940_1960,1.0,3,69.0,21282,0,19658.0,1,1,0,62.23,1245923.75
955,Other,47.54563,-122.27616,1920_1940,1.0,2,,41022,0,41022.0,0,1,0,26.41,3787648.25
956,Other,47.57058,-122.35626,1960_1980,1.0,2,,28109,0,28109.0,0,1,1,38.39,3612526.75
957,Small- and Mid-Sized Office,47.72986,-122.29278,1980_2000,1.0,3,100.0,20590,12990,20590.0,0,1,0,2.86,409578.4063
958,Warehouse,47.72051,-122.30103,1960_1980,1.0,1,100.0,21936,0,21936.0,0,1,1,2.69,113130.0
959,Other,47.72083,-122.29979,1960_1980,1.0,1,,30160,0,30139.0,0,1,1,44.26,1045838.5
960,Mixed Use Property,47.61056,-122.33661,_1920,1.0,11,,111137,0,42939.0,0,1,1,294.65,9546165.0
961,Other,47.56319,-122.35067,1980_2000,1.0,1,,40189,0,28347.0,0,1,1,37.65,1509292.0
962,Small- and Mid-Sized Office,47.56877,-122.36369,1980_2000,1.0,2,69.0,66484,0,49334.0,0,1,0,21.24,3046543.0
963,Small- and Mid-Sized Office,47.60789,-122.32249,1940_1960,1.0,3,85.0,25151,0,24155.0,1,1,0,62.05,1356874.75
964,Hotel,47.60958,-122.32646,1920_1940,1.0,6,56.0,35770,0,35770.0,0,1,1,112.34,2640980.25
965,Hotel,47.60981,-122.32687,1920_1940,1.0,9,85.0,48006,0,48006.0,0,1,1,101.31,3239754.0
966,Mixed Use Property,47.59949,-122.31851,1940_1960,1.0,2,,29631,0,16000.0,0,1,1,146.93,5144392.0
967,Small- and Mid-Sized Office,47.59727,-122.32196,1980_2000,1.0,2,,23472,0,20695.0,0,1,1,46.45,1625308.625
968,Small- and Mid-Sized Office,47.62481,-122.35762,1980_2000,1.0,4,69.0,41298,15812,36867.0,0,1,1,24.31,2190460.0
969,Small- and Mid-Sized Office,47.61833,-122.35871,1960_1980,1.0,3,50.0,34030,0,34030.0,0,1,1,22.26,1748629.875
970,Restaurant,47.58654,-122.37644,_1920,1.0,2,,20398,0,19232.0,0,1,1,334.15,9313513.0
971,Distribution Center,47.5746,-122.32637,1940_1960,1.0,1,7.0,41308,0,41308.0,0,1,1,38.57,1642471.5
972,Mixed Use Property,47.60195,-122.33516,_1920,1.0,3,,43878,0,12000.0,0,1,0,5.37,769771.3125
973,Other,47.62591,-122.35843,_1920,1.0,3,,34976,0,34976.0,0,1,1,15.7,873711.125
974,Warehouse,47.65674,-122.37223,1940_1960,1.0,1,12.0,38255,0,38255.0,0,1,1,33.8,985401.8125
975,Other,47.65561,-122.38063,1940_1960,23.0,1,,260241,0,260241.0,0,1,1,565.55,34012980.0
976,Small- and Mid-Sized Office,47.65103,-122.35541,1980_2000,1.0,3,71.0,48924,0,31325.0,0,1,1,59.24,2282551.25
977,Small- and Mid-Sized Office,47.64168,-122.32562,1940_1960,1.0,4,88.0,32297,18036,50333.0,0,1,0,11.17,1602084.375
978,Small- and Mid-Sized Office,47.6404,-122.32553,1980_2000,1.0,4,,35526,21906,34160.0,0,1,0,17.57,2520483.25
979,Small- and Mid-Sized Office,47.63995,-122.32557,1960_1980,1.0,3,,17956,7956,17332.0,0,1,0,4.65,666740.3125
980,Small- and Mid-Sized Office,47.64113,-122.32625,1980_2000,1.0,3,73.0,35224,21908,33705.0,0,1,0,13.91,1994967.75
981,Worship Facility,47.52172,-122.35487,1940_1960,1.0,2,52.0,24224,0,24224.0,0,1,1,26.73,968026.3125
982,Worship Facility,47.51989,-122.35489,1960_1980,1.0,1,78.0,23706,0,23706.0,0,1,1,13.12,400770.9063
983,Warehouse,47.5465,-122.31704,1960_1980,1.0,1,,31900,0,28000.0,0,1,0,13.7,1964681.25
984,Other,47.5219,-122.38787,_1920,1.0,1,,49066,0,49000.0,0,1,1,178.86,3835202.0
985,Worship Facility,47.52097,-122.38688,1940_1960,1.0,3,,30740,0,28293.0,0,1,1,61.3,1686262.25
986,Supermarket / Grocery Store,47.52262,-122.26922,1940_1960,1.0,1,97.0,67450,0,42760.0,0,1,1,55.86,2842819.5
987,Warehouse,47.65649,-122.37507,1940_1960,1.0,1,,46970,0,46970.0,0,1,0,6.16,882896.5
988,Warehouse,47.6331,-122.37582,1920_1940,1.0,1,,47554,0,18133.0,0,1,1,16.04,1035554.688
989,Small- and Mid-Sized Office,47.63063,-122.37428,1960_1980,1.0,2,100.0,37616,5400,43016.0,0,1,1,60.57,1234095.5
990,Mixed Use Property,47.63034,-122.37412,1920_1940,1.0,1,,24196,0,8711.0,0,1,1,22.29,1055033.0
991,Small- and Mid-Sized Office,47.63128,-122.37387,1920_1940,1.0,2,98.0,20671,0,20671.0,0,1,1,24.76,638507.125
992,Warehouse,47.58065,-122.33356,1920_1940,1.0,1,57.0,21600,0,21600.0,0,1,1,14.36,499828.5938
993,Worship Facility,47.50959,-122.37417,1960_1980,1.0,1,14.0,35844,0,35844.0,0,1,0,6.04,866126.375
994,Small- and Mid-Sized Office,47.66116,-122.34172,_1920,1.0,3,85.0,31774,0,19896.0,0,1,1,18.87,1639136.25
995,Warehouse,47.56121,-122.33872,1940_1960,1.0,1,19.0,26094,0,26094.0,0,1,0,4.95,709990.8125
996,Small- and Mid-Sized Office,47.56121,-122.33872,1980_2000,1.0,2,68.0,23687,0,23687.0,0,1,0,7.56,1084553.75
997,Small- and Mid-Sized Office,47.56121,-122.33872,1980_2000,1.0,2,20.0,24221,0,24221.0,0,1,0,10.01,1435562.75
998,Mixed Use Property,47.60546,-122.34091,_1920,1.0,2,37.0,57836,14083,34550.0,0,1,0,37.51,5381105.0
999,Small- and Mid-Sized Office,47.60546,-122.34091,_1920,1.0,2,54.0,32027,0,17526.0,0,1,1,128.41,3999505.25
1000,Small- and Mid-Sized Office,47.6032,-122.33663,_1920,1.0,3,,32160,0,35693.0,0,1,0,19.56,2805826.0
1001,Other,47.59549,-122.32538,1980_2000,1.0,3,,40264,7572,43336.0,0,1,1,109.59,3540225.75
1002,Small- and Mid-Sized Office,47.58802,-122.32111,_1920,1.0,3,84.0,34425,0,34425.0,0,1,1,50.07,2018385.75
1003,Medical Office,47.57296,-122.38643,1980_2000,1.0,3,5.0,28304,12000,20106.0,0,1,0,13.67,1961581.5
1004,Distribution Center,47.52878,-122.32771,1980_2000,1.0,1,50.0,29619,0,15000.0,0,1,1,42.45,1280263.75
1005,K-12 School,47.59692,-122.30601,1920_1940,1.0,2,47.0,21592,0,20700.0,0,1,1,54.24,1431784.0
1006,K-12 School,47.69061,-122.31992,1920_1940,1.0,2,69.0,23923,0,23923.0,0,1,1,19.51,805643.5
1007,Small- and Mid-Sized Office,47.59976,-122.31441,_1920,1.0,3,47.0,25200,0,16000.0,0,1,1,37.08,1748444.25
1008,Small- and Mid-Sized Office,47.59693,-122.31124,1960_1980,1.0,2,80.0,28296,0,26899.0,0,1,0,9.26,1328461.25
1009,Small- and Mid-Sized Office,47.61744,-122.30514,1980_2000,1.0,3,55.0,31357,0,25500.0,0,1,1,22.48,1965075.625
1010,Distribution Center,47.55945,-122.33601,1960_1980,1.0,1,94.0,160000,0,160000.0,0,1,0,8.07,1157976.5
1011,Warehouse,47.55601,-122.33627,1940_1960,1.0,1,11.0,53550,0,53550.0,0,1,1,174.62,4590246.5
1012,Warehouse,47.55716,-122.33744,1920_1940,1.0,1,62.0,38412,0,32000.0,0,1,1,67.05,1628540.0
1013,Self-Storage Facility,47.55662,-122.33728,1920_1940,1.0,1,,25881,0,25881.0,0,1,0,3.8,545426.375
1014,Small- and Mid-Sized Office,47.55498,-122.32497,1940_1960,1.0,1,98.0,24291,0,24023.0,0,1,1,19.61,655422.375
1015,Warehouse,47.55458,-122.32639,1960_1980,1.0,1,5.0,36544,0,36544.0,0,1,0,8.85,1269847.75
1016,Warehouse,47.58387,-122.32092,1940_1960,1.0,1,,20796,0,20796.0,0,1,1,51.1,1324092.125
1017,Distribution Center,47.5822,-122.321,1940_1960,1.0,1,70.0,21349,0,13000.0,0,1,1,17.04,659761.875
1018,Warehouse,47.58082,-122.32031,1920_1940,1.0,1,33.0,38630,0,38500.0,0,1,0,2.91,416885.5938
1019,Warehouse,47.58032,-122.32083,1940_1960,1.0,1,,20724,0,19224.0,0,1,1,83.3,1832031.5
1020,Other,47.5793,-122.32226,1940_1960,1.0,1,,24109,0,24109.0,0,1,0,33.1,4747403.5
1021,Refrigerated Warehouse,47.58118,-122.32211,1940_1960,1.0,1,,25375,0,23419.0,0,1,0,28.37,4069301.5
1022,Refrigerated Warehouse,47.58252,-122.32193,1940_1960,1.0,1,94.0,41550,0,41550.0,0,1,0,4.48,642645.1875
1023,Other,47.52305,-122.31899,1980_2000,1.0,2,,54170,0,54170.0,0,1,1,178.35,5804784.5
1024,K-12 School,47.55095,-122.27978,_1920,1.0,2,49.0,42252,0,42252.0,0,1,1,102.35,2203758.5
1025,Self-Storage Facility,47.54514,-122.28596,1940_1960,1.0,1,,23100,0,23250.0,0,1,1,13.87,863703.0
1026,Worship Facility,47.5419,-122.28302,1980_2000,1.0,3,96.0,22895,0,22895.0,0,1,1,12.92,440419.1875
1027,Self-Storage Facility,47.69316,-122.30487,2000_,1.0,6,,41047,7132,48179.0,0,1,1,12.22,797170.3125
1028,Warehouse,47.59294,-122.32555,1920_1940,1.0,1,67.0,52325,0,52325.0,0,1,1,18.03,808968.1875
1029,Other,47.59322,-122.32491,_1920,1.0,4,,20600,0,20600.0,0,1,1,9.71,270838.5
1030,Other,47.59042,-122.32498,1980_2000,10.0,0,,230971,0,230970.0,0,1,1,405.05,21022288.0
1031,Retail Store,47.58698,-122.32397,1940_1960,1.0,1,100.0,25880,0,25880.0,0,1,0,1.14,162960.0
1032,Warehouse,47.58336,-122.32525,1940_1960,1.0,1,99.0,45842,0,49802.0,0,1,1,12.55,819354.625
1033,Other,47.57936,-122.32322,1960_1980,1.0,1,,31365,0,31365.0,0,1,1,5.09,652991.6875
1034,Other,47.57959,-122.32557,_1920,1.0,1,,32100,0,32100.0,0,1,1,25.77,758008.875
1035,Warehouse,47.57895,-122.32551,1960_1980,1.0,1,20.0,20520,0,15400.0,0,1,1,40.85,1167887.75
1036,Warehouse,47.57833,-122.32563,1940_1960,1.0,1,12.0,22972,0,22972.0,0,1,0,3.45,495481.0
1037,Warehouse,47.57934,-122.32501,1940_1960,1.0,1,80.0,24990,0,25649.0,0,1,1,8.7,523614.0938
1038,Retail Store,47.57667,-122.32542,1940_1960,1.0,2,,24000,0,22740.0,0,1,1,40.94,1318947.25
1039,Warehouse,47.56845,-122.32732,1960_1980,1.0,1,,100386,0,50628.0,0,1,1,95.93,3626431.5
1040,Distribution Center,47.56758,-122.32638,1960_1980,1.0,1,10.0,24354,0,18470.0,0,1,1,17.29,735907.8125
1041,Distribution Center,47.56823,-122.32506,1940_1960,1.0,1,58.0,33600,0,24000.0,0,1,1,15.35,847419.375
1042,Other,47.56671,-122.32446,1960_1980,1.0,1,,20819,0,20819.0,0,1,1,51.27,1694930.375
1043,Warehouse,47.5668,-122.32499,1960_1980,1.0,1,,23296,0,19471.0,0,1,1,40.01,1429855.75
1044,Mixed Use Property,47.57019,-122.32352,1940_1960,1.0,1,,35222,0,15000.0,0,1,1,40.42,1758134.625
1045,Refrigerated Warehouse,47.5668,-122.32149,1940_1960,1.0,1,100.0,25520,0,25200.0,0,1,1,59.0,1610794.75
1046,Other,47.58754,-122.3224,1940_1960,1.0,1,,25460,0,8223.0,0,1,0,5.82,834711.875
1047,Small- and Mid-Sized Office,47.70008,-122.30321,1960_1980,1.0,2,87.0,24291,0,24291.0,0,1,0,6.42,920430.625
1048,Retail Store,47.70053,-122.3038,1940_1960,1.0,2,44.0,20738,0,20738.0,0,1,0,3.67,526752.8125
1049,Mixed Use Property,47.70175,-122.30269,1980_2000,1.0,4,,30948,0,11729.0,0,1,0,6.41,919746.3125
1050,Medical Office,47.7044,-122.32285,1980_2000,1.0,2,1.0,21329,7056,20575.0,0,1,0,18.5,2654316.0
1051,Warehouse,47.57254,-122.32549,1960_1980,1.0,1,,21755,0,17650.0,0,1,1,17.51,844076.8125
1052,Other,47.57217,-122.32421,1940_1960,1.0,1,,27933,0,27933.0,0,1,0,42.73,6129780.0
1053,Small- and Mid-Sized Office,47.57013,-122.3244,1980_2000,1.0,1,75.0,23143,0,15609.0,0,1,1,38.87,1139980.625
1054,Small- and Mid-Sized Office,47.57075,-122.32724,1960_1980,1.0,1,73.0,28800,0,28800.0,0,1,1,60.12,2107743.75
1055,Warehouse,47.57294,-122.32811,1940_1960,1.0,1,85.0,39600,0,39600.0,0,1,0,2.82,405050.4063
1056,Warehouse,47.57199,-122.32811,1940_1960,1.0,1,91.0,39600,0,39600.0,0,1,1,9.25,468396.9063
1057,Distribution Center,47.57747,-122.32844,1920_1940,1.0,1,37.0,41248,0,41430.0,0,1,1,16.5,1108310.875
1058,Other,47.57587,-122.32789,2000_,1.0,1,,36400,0,21400.0,0,1,1,46.16,1567746.75
1059,Other,47.56398,-122.38727,_1920,1.0,1,,31332,0,31332.0,0,1,0,24.91,3573328.25
1060,Worship Facility,47.57177,-122.38716,1940_1960,1.0,2,75.0,35864,0,35864.0,0,1,1,43.64,1228113.5
1061,Worship Facility,47.55464,-122.31576,1940_1960,1.0,1,69.0,20484,0,20484.0,0,1,1,38.38,822636.625
1062,Medical Office,47.66169,-122.28558,1980_2000,1.0,4,4.0,27642,17622,21743.0,0,1,0,12.89,1849331.25
1063,Medical Office,47.66159,-122.28606,1980_2000,2.0,4,,22356,14576,27642.0,0,1,0,19.69,2824096.75
1064,Other,47.60775,-122.31198,1960_1980,1.0,4,,45082,0,45082.0,0,1,1,93.5,4262316.5
1065,Worship Facility,47.68351,-122.35482,1940_1960,0.0,2,58.0,41600,0,41600.0,0,1,1,30.99,1195165.25
1066,Small- and Mid-Sized Office,47.63567,-122.32522,1940_1960,1.0,2,31.0,34110,0,34110.0,0,1,0,17.87,2563985.5
1067,Warehouse,47.57798,-122.32783,1960_1980,1.0,1,,23750,0,19430.0,0,1,0,3.65,522972.1875
1068,Warehouse,47.57832,-122.32649,1960_1980,1.0,1,87.0,43390,0,36430.0,0,1,0,3.72,533742.8125
1069,Warehouse,47.58238,-122.32719,1940_1960,1.0,1,84.0,35400,0,35400.0,0,1,1,9.29,419978.6875
1070,Distribution Center,47.58517,-122.32853,1960_1980,1.0,1,19.0,28144,0,22201.0,0,1,1,8.22,858701.0
1071,Warehouse,47.5842,-122.32826,_1920,1.0,3,41.0,71283,0,57910.0,0,1,1,43.17,2491238.25
1072,Warehouse,47.58661,-122.3281,1980_2000,1.0,1,,23792,0,22992.0,0,1,0,19.88,2852102.75
1073,Small- and Mid-Sized Office,47.58895,-122.32833,1960_1980,1.0,2,99.0,47368,0,47368.0,0,1,0,7.27,1042652.625
1074,Mixed Use Property,47.58874,-122.32662,1920_1940,1.0,1,,46183,0,18871.0,0,1,1,27.92,1890502.5
1075,Small- and Mid-Sized Office,47.60592,-122.31367,1980_2000,1.0,5,84.0,49825,22788,49825.0,0,1,1,41.96,2602213.75
1076,K-12 School,47.56591,-122.28339,1980_2000,1.0,3,97.0,51672,0,51672.0,0,1,1,20.3,1436510.375
1077,Other,47.7139,-122.29794,2000_,1.0,3,,35115,0,35115.0,0,1,1,31.94,1922953.25
1078,Mixed Use Property,47.69734,-122.34639,1960_1980,1.0,1,,66704,0,23904.0,0,1,1,19.77,600516.875
1079,Small- and Mid-Sized Office,47.61345,-122.3198,_1920,1.0,2,95.0,36000,0,27600.0,0,1,1,18.04,1046187.625
1080,Mixed Use Property,47.61324,-122.31724,_1920,1.0,1,59.0,36000,0,18000.0,0,1,1,26.52,1162163.125
1081,Warehouse,47.61467,-122.31777,_1920,1.0,2,38.0,43200,0,43200.0,0,1,1,49.18,1929851.5
1082,Small- and Mid-Sized Office,47.59501,-122.32852,_1920,1.0,4,71.0,40970,12870,42800.0,0,1,1,46.85,2912454.75
1083,Retail Store,47.58801,-122.32944,1960_1980,1.0,1,88.0,43794,0,34038.0,0,1,1,23.5,1164537.75
1084,Warehouse,47.57466,-122.33089,1960_1980,1.0,1,18.0,48280,0,40780.0,0,1,1,78.57,2701833.75
1085,Distribution Center,47.57258,-122.33059,1940_1960,1.0,1,,36040,0,31476.0,0,1,1,7.74,363808.1875
1086,Supermarket / Grocery Store,47.68269,-122.28912,1960_1980,1.0,1,42.0,32822,0,35042.0,0,1,1,219.93,8839812.0
1087,Worship Facility,47.68061,-122.29002,1940_1960,1.0,2,65.0,20385,0,20385.0,0,1,1,34.04,809291.8125
1088,Worship Facility,47.67984,-122.27739,1940_1960,1.0,1,53.0,24295,0,24295.0,0,1,0,1.51,216115.0
1089,Small- and Mid-Sized Office,47.66888,-122.28333,1960_1980,1.0,2,83.0,20317,0,20317.0,0,1,0,4.33,620994.3125
1090,Supermarket / Grocery Store,47.66824,-122.28394,1960_1980,1.0,1,6.0,24377,0,24377.0,0,1,1,260.32,9851260.0
1091,Other,47.70197,-122.34219,1980_2000,1.0,1,,33392,0,33392.0,0,1,0,19.43,2786648.75
1092,Supermarket / Grocery Store,47.70224,-122.34409,1980_2000,0.0,1,6.0,45155,0,45155.0,0,1,1,158.63,6674179.5
1093,Warehouse,47.5316,-122.333,1960_1980,1.0,1,3.0,32000,0,32040.0,0,1,1,41.77,2186148.5
1094,Warehouse,47.5316,-122.333,1960_1980,1.0,1,15.0,44000,0,45449.0,0,1,1,175.53,4302455.5
1095,Warehouse,47.5316,-122.333,1960_1980,1.0,1,44.0,36000,0,36000.0,0,1,1,124.4,2771820.5
1096,Warehouse,47.52549,-122.33064,1960_1980,1.0,1,,31360,0,29640.0,0,1,1,43.18,1356972.25
1097,Warehouse,47.52549,-122.33064,1960_1980,1.0,1,,33320,0,32200.0,0,1,1,64.75,2339234.0
1098,Warehouse,47.52549,-122.33064,1960_1980,1.0,1,71.0,48020,0,47800.0,0,1,1,59.14,2373568.25
1099,Warehouse,47.52549,-122.33064,1960_1980,1.0,1,55.0,27420,0,27850.0,0,1,1,39.05,1176342.25
1100,K-12 School,47.694,-122.28967,1940_1960,1.0,2,71.0,43645,0,37000.0,0,1,1,85.15,2053956.375
1101,Retail Store,47.69066,-122.29023,1940_1960,1.0,1,68.0,26853,0,20360.0,0,1,1,21.46,1399062.75
1102,Other,47.59347,-122.33369,_1920,1.0,4,,44775,0,44775.0,0,1,1,29.88,950695.625
1103,Other,47.57507,-122.33349,_1920,2.0,1,,27760,0,19715.0,0,1,1,112.82,2833624.5
1104,Other,47.57459,-122.3339,1920_1940,1.0,1,,20975,0,13144.0,0,1,1,6.46,347437.6875
1105,Other,47.57619,-122.3339,_1920,1.0,1,,26075,0,26075.0,0,1,1,17.6,1608508.75
1106,Warehouse,47.57881,-122.33273,1980_2000,1.0,1,60.0,29394,0,29394.0,0,1,1,26.27,1486681.75
1107,Warehouse,47.57941,-122.3336,1920_1940,1.0,2,69.0,20400,0,15000.0,0,1,1,12.17,438557.0
1108,Small- and Mid-Sized Office,47.57893,-122.33374,1920_1940,1.0,1,16.0,20460,0,20460.0,0,1,0,6.3,903541.875
1109,Self-Storage Facility,47.58168,-122.33369,1920_1940,1.0,2,,25821,0,25821.0,0,1,0,1.46,209698.7031
1110,Refrigerated Warehouse,47.58217,-122.33263,1940_1960,1.0,2,45.0,21870,0,21870.0,0,1,0,7.49,1074350.375
1111,Warehouse,47.58069,-122.3325,1980_2000,3.0,1,,51664,0,51664.0,0,1,1,66.77,3528086.75
1112,Medical Office,47.53419,-122.36624,1960_1980,1.0,1,89.0,43615,0,43615.0,0,1,1,106.35,3133849.5
1113,Small- and Mid-Sized Office,47.53419,-122.36624,1960_1980,1.0,3,26.0,36879,0,16855.0,0,1,0,7.98,1144267.5
1114,Warehouse,47.53846,-122.36175,1980_2000,1.0,2,80.0,36600,0,43556.0,0,1,0,2.15,308400.4063
1115,Mixed Use Property,47.57269,-122.37056,2000_,1.0,5,,35176,0,14452.0,0,1,0,7.05,1011965.375
1116,University,47.65231,-122.34217,1920_1940,1.0,2,,26050,15243,26393.0,0,1,1,61.68,2839882.25
1117,Warehouse,47.55718,-122.33288,1940_1960,1.0,1,49.0,48890,0,30889.0,0,1,1,61.6,2100216.5
1118,Small- and Mid-Sized Office,47.55658,-122.33322,1980_2000,1.0,3,3.0,43473,0,43473.0,0,1,0,30.79,4416909.5
1119,Retail Store,47.52254,-122.36627,1980_2000,1.0,1,19.0,40265,0,40793.0,0,1,1,35.48,3740373.75
1120,Retail Store,47.52254,-122.36627,2000_,1.0,1,79.0,26208,0,32427.0,0,1,1,37.61,1608884.25
1121,Mixed Use Property,47.69766,-122.37346,1920_1940,1.0,1,,42172,0,12000.0,0,1,1,152.14,3275779.25
1122,Small- and Mid-Sized Office,47.59657,-122.33394,_1920,1.0,5,92.0,32250,0,32250.0,0,1,1,11.44,796042.375
1123,Retail Store,47.69061,-122.35731,1940_1960,1.0,1,95.0,51000,0,51000.0,0,1,1,14.17,1298039.875
1124,Mixed Use Property,47.58452,-122.3337,_1920,1.0,1,,27000,0,9000.0,0,1,0,1.6,229856.4063
1125,Other,47.58787,-122.33365,1920_1940,1.0,2,,20747,0,11815.0,0,1,1,17.45,1001964.0
1126,Warehouse,47.58903,-122.33361,1920_1940,1.0,2,,40800,0,36000.0,0,1,1,27.83,817255.875
1127,Small- and Mid-Sized Office,47.59508,-122.33378,_1920,1.0,2,80.0,20150,0,20150.0,0,1,0,4.02,576174.125
1128,Small- and Mid-Sized Office,47.59639,-122.33368,_1920,1.0,7,40.0,36000,0,31500.0,0,1,0,11.73,1682454.875
1129,Warehouse,47.59081,-122.33487,1920_1940,1.0,2,,41276,0,24300.0,0,1,1,96.62,2502081.0
