,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,ENERGYSTARScore,PropertyGFABuilding(s),PropertyGFAParking,LargestPropertyUseTypeGFA,SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,SiteEnergyUse(kBtu)
134,Warehouse,47.59486,-122.32455,2000_,1.0,4,72.0,203504,0,159372.0,0,1,0,26.39,3785282.5
135,Large Office,47.61757,-122.35122,1960_1980,0.0,3,20.0,74003,26731,100734.0,0,1,0,68.24,9788717.0
136,Small- and Mid-Sized Office,47.61703,-122.35012,1980_2000,1.0,4,57.0,59158,18504,62108.0,0,1,1,68.19,5007401.0
137,Large Office,47.61619,-122.34599,1960_1980,1.0,12,39.0,212210,21790,173786.0,0,1,1,149.27,18661606.0
138,Large Office,47.61217,-122.33694,1980_2000,1.0,25,74.0,369996,0,383942.0,0,1,0,172.58,24755086.0
139,Retail Store,47.61229,-122.33629,1920_1940,1.0,10,93.0,693450,0,361107.0,1,1,1,398.19,40062888.0
140,Large Office,47.61316,-122.3343,1960_1980,1.0,33,89.0,791396,0,622034.0,0,1,1,313.3,40847752.0
141,Large Office,47.61399,-122.33523,1980_2000,1.0,23,90.0,542671,205076,542461.0,0,1,1,359.11,30985420.0
142,Small- and Mid-Sized Office,47.61356,-122.33665,1920_1940,1.0,10,90.0,55652,7757,45260.0,1,1,0,170.51,3444270.0
143,Large Office,47.61375,-122.33566,1920_1940,1.0,17,91.0,174790,30000,142034.0,0,1,1,100.26,7739699.0
144,Small- and Mid-Sized Office,47.61256,-122.33808,_1920,1.0,5,61.0,73399,0,51557.0,0,1,0,26.19,3757006.0
145,Large Office,47.61391,-122.33725,1960_1980,1.0,20,90.0,233517,32334,226454.0,1,1,0,563.25,14633233.0
146,Large Office,47.61578,-122.33726,2000_,1.0,25,95.0,529375,228668,582725.0,0,1,1,229.25,27018020.0
147,Large Office,47.61641,-122.34112,1960_1980,1.0,12,91.0,206000,0,161000.0,1,1,0,222.19,8580279.0
148,Large Office,47.61555,-122.33582,2000_,1.0,36,97.0,669915,154972,743562.0,0,1,0,275.54,39523852.0
149,Large Office,47.61516,-122.33303,1980_2000,1.0,16,94.0,339240,141600,311736.0,0,1,1,130.73,17867002.0
150,Small- and Mid-Sized Office,47.60266,-122.33332,_1920,1.0,7,85.0,89550,0,64712.0,1,1,0,51.67,3903259.75
151,Small- and Mid-Sized Office,47.60219,-122.33347,_1920,1.0,6,66.0,89355,0,82355.0,0,1,1,31.97,4178233.5
152,Large Office,47.6036,-122.33288,1920_1940,1.0,15,89.0,388934,0,388934.0,1,1,0,213.23,18576900.0
153,Large Office,47.60403,-122.33497,1920_1940,1.0,22,98.0,384302,0,348969.0,0,1,0,70.15,10062436.0
154,Large Office,47.6037,-122.33447,1940_1960,1.0,17,69.0,293925,84600,236827.0,1,1,0,940.47,24906132.0
155,Large Office,47.60505,-122.33427,1980_2000,1.0,47,94.0,1323055,0,1011135.0,0,1,1,318.97,44683660.0
156,Large Office,47.60567,-122.33511,1980_2000,1.0,41,84.0,460489,129432,470416.0,0,1,0,171.52,24603420.0
157,Small- and Mid-Sized Office,47.60542,-122.33588,1940_1960,1.0,6,,89699,1392,89699.0,1,1,0,46.56,1835804.875
158,Large Office,47.60581,-122.33664,1960_1980,1.0,8,81.0,94948,62993,84838.0,0,1,0,26.1,3743228.5
159,Large Office,47.60614,-122.33674,1980_2000,1.0,29,95.0,438072,197231,522667.0,1,1,0,139.72,18221224.0
160,Large Office,47.60655,-122.33533,1960_1980,1.0,34,81.0,614158,162604,606050.0,0,1,1,231.32,32552428.0
161,Large Office,47.60671,-122.33456,1960_1980,1.0,14,95.0,162993,23775,182540.0,1,1,0,218.53,9641043.0
162,Large Office,47.60615,-122.33388,1960_1980,1.0,49,89.0,754455,368980,808980.0,0,1,1,627.87,45163308.0
163,Large Office,47.60549,-122.33319,2000_,1.0,37,93.0,888049,164420,765351.0,0,1,0,287.32,41213584.0
164,Large Office,47.60616,-122.33165,1960_1980,1.0,42,28.0,446184,171500,581558.0,1,1,0,546.65,69519808.0
165,Large Office,47.60471,-122.33261,_1920,1.0,8,91.0,201480,0,161762.0,1,1,0,175.95,8921778.0
166,Large Office,47.60249,-122.32854,2000_,1.0,13,98.0,319539,52703,319539.0,0,1,1,216.24,13843866.0
167,Large Office,47.60193,-122.32812,_1920,1.0,7,99.0,106099,8296,96582.0,0,1,1,70.17,2746560.75
168,Retail Store,47.66024,-122.31278,1960_1980,1.0,2,83.0,89200,0,89200.0,0,1,1,89.47,6461937.0
169,Large Office,47.66072,-122.31466,1960_1980,1.0,23,77.0,474546,0,474546.0,0,1,0,198.34,28450436.0
170,Other,47.6606,-122.31512,1960_1980,1.0,5,96.0,36000,0,36000.0,0,1,0,209.41,30038490.0
171,Small- and Mid-Sized Office,47.661,-122.31626,1960_1980,0.0,5,70.0,99005,0,79555.0,0,1,1,119.03,4728488.5
172,Large Office,47.66065,-122.31689,2000_,1.0,6,88.0,90803,44248,95943.0,0,1,0,30.86,4426136.0
173,Large Office,47.65999,-122.31741,2000_,1.0,5,93.0,137929,82720,145754.0,0,1,0,49.12,7046345.5
174,Self-Storage Facility,47.61591,-122.33238,1960_1980,1.0,5,,93660,0,93660.0,0,1,0,6.09,873221.875
175,Large Office,47.61597,-122.33086,1960_1980,1.0,18,79.0,349055,64660,348270.0,0,1,0,168.88,24224888.0
176,Mixed Use Property,47.6177,-122.3306,1980_2000,1.0,11,94.0,185760,195621,182820.0,0,1,1,72.42,9765777.0
177,Large Office,47.61695,-122.32965,1980_2000,1.0,20,65.0,378769,118744,367623.0,0,1,1,197.19,26823218.0
178,Large Office,47.61431,-122.34244,1960_1980,1.0,24,79.0,427155,116721,424044.0,0,1,0,176.43,25307744.0
179,Mixed Use Property,47.6177,-122.3545,1960_1980,1.0,4,,70647,38700,42389.0,0,1,1,91.13,8218155.5
